id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
13,Boston Centers For Youth And Families,Bcyf Allston Community Center,Develop Building Program And Assess Siting Options For A New Community Center In Allston/Brighton.,Public Facilities Department,To Be Scheduled,Allston/Brighton,4125000,0,0,0,0,0,38484.0,86516,0,4000000.0,0.0,0,0,0.0,0,4125000,4125000
14,Boston Centers For Youth And Families,Youth Budget Round 10,"Engage Youth Across The City To Create A Capital ""Youth Budget"", Using Participatory Budgeting Methods.",Youth Engagement And Advancement,To Be Scheduled,Citywide,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
15,Boston Centers For Youth And Families,Bcyf Tobin Community Center Improvements,"Renovations To The Tobin Community Center, Including Accessibility Improvements And Ac Work In The Gym Space.",Public Facilities Department,In Design,Mission Hill,1000000,0,0,0,0,0,0.0,45950,500000,454050.0,0.0,0,0,0.0,0,1000000,1000000
16,Boston Centers For Youth And Families,Bcyf Dorchester Community Center,Design And Construct A New Community Center Based On The Recent Programming Study.,Public Facilities Department,In Design,Dorchester,65000000,0,0,0,0,0,0.0,4000000,10000000,51000000.0,0.0,0,0,0.0,0,65000000,65000000
17,Boston Centers For Youth And Families,Bcyf Clougherty Pool,"Replace Existing Pool, Pool Deck, Pool Filtration System, And Renovate Existing Bath House Building.",Public Facilities Department,In Construction,Charlestown,33500000,0,0,2000000,0,0,618044.0,15000000,15000000,2881956.0,0.0,0,2000000,0.0,0,35500000,33500000
18,Boston Centers For Youth And Families,Bcyf Johnson Community Center Renovations,Study To Assess Scope Of Interior And Exterior Improvements For A Renovation Of The Community Center.,Public Facilities Department,To Be Scheduled,Mission Hill,250000,0,0,0,0,0,0.0,0,0,250000.0,0.0,0,0,0.0,0,250000,250000
19,Boston Planning And Development Agency,Rlfmp Resiliency Improvements,Climate Resilience Improvements At The Raymond L. Flynn Marine Park.,Boston Planning And Development Agency,In Construction,South Boston,3075000,0,0,0,0,0,224179.0,5000,0,2845821.0,0.0,0,0,0.0,0,3075000,3075000
20,Boston Planning And Development Agency,Pier 10 Park Ferry Terminal,Develop Design Plans To Create A Ferry Service From Pier 10 To North Station For More Reliable Transit Services In The Raymond L. Flynn Marine Park.,Boston Planning And Development Agency,In Construction,South Boston,500000,0,0,0,0,0,0.0,0,0,500000.0,0.0,0,0,0.0,0,500000,500000
21,Boston Planning And Development Agency,Little Mystic Open Space / Harborwalk,Extend Harborwalk Along The Edge Of Little Mystic Channel On Property Owned By The Bpda. City Funds Will Be Used To Complete The Design. The Harborwalk Extension Will Connect With The New Chelsea Street Crossing To The Charlestown Navy Yard.,Boston Planning And Development Agency,To Be Scheduled,Charlestown,1000000,0,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
22,Boston Planning And Development Agency,Long Wharf Resiliency Improvements,"Design And Engineering Work For The Resilience Needs Of Downtown And The North End, To Advance The Solutions Outlined In Climate Ready Boston. The Project Includes Stabilizing The East Face Seawall.",Boston Planning And Development Agency,In Design,Downtown/Government Center,1000000,0,5000000,0,0,0,0.0,0,0,6000000.0,0.0,0,0,0.0,0,6000000,6000000
23,Boston Planning And Development Agency,Rlfmp Wharf 8/Pier 10 Improvements,"Design And Engineering Work For The Resilience Needs Of South Boston And Seaport, To Advance The Solutions Outlined In Climate Ready Boston, Specifically In The Area Of Wharf 8 And Pier 10 For Improvements Of Existing Waterfront Structures.",Boston Planning And Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.0,0,0,5000000.0,0.0,0,0,0.0,0,5000000,5000000
24,Boston Planning And Development Agency,Rlfmp South Jetty And Bulkhead Rehabilitation,Construction Of A Replacement Bulkhead And Jetty Near Drydock 3. Project Includes Demolition And Removal Of Existing South Jetty.,Boston Planning And Development Agency,In Construction,South Boston,7900000,0,0,0,0,0,0.0,0,0,7900000.0,0.0,0,0,0.0,0,7900000,7900000
25,Boston Planning And Development Agency,Rlfmp Fid Kennedy Realignment,"Design, Engineering, And Reconstruction Of Fid Kennedy Ave. Into A Designated Industrial Trucking Route For The Rlfmp.",Boston Planning And Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.0,0,0,5000000.0,0.0,0,0,0.0,0,5000000,5000000
26,Boston Planning And Development Agency,Rlfmp Streetscape Improvements,"Design And Construction Of Improvements To The Streets And Sidewalks In The Rlfmp To Meet City Standards Including Sidewalk Widening, Ada Compliance, And Multimodal Transportation Infrastructure.",Boston Planning And Development Agency,In Design,South Boston,5000000,0,0,0,0,0,0.0,0,0,5000000.0,0.0,0,0,0.0,0,5000000,5000000
27,Public Health Commission,Ems Radio System Upgrades,Design And Implement Upgrades To The Ems Radio System.,Public Health Commission,Implementation Underway,Citywide,23215000,0,0,0,0,0,8913981.0,4000000,6000000,4301019.0,0.0,0,0,0.0,0,23215000,23215000
28,Public Health Commission,Ems Seaport Station,Design And Construction Of A New Ems Station.,Public Facilities Department,In Design,South Boston,13000000,0,0,0,0,0,654978.0,900000,6000000,5445022.0,0.0,0,0,0.0,0,13000000,13000000
29,Public Health Commission,Long Island Facility Preservation,Repair And Upkeep Of Buildings On Long Island That May Be Utilized In The Development Of The Recovery Campus.,Public Facilities Department,Study Underway,Harbor Islands,38220000,0,0,0,0,0,483349.0,2500000,0,35236651.0,0.0,0,0,0.0,0,38220000,38220000
30,Public Health Commission,Long Island Recovery Campus,Renovate Existing Buildings On Long Island To Support The Creation Of A Recovery Campus.,Public Facilities Department,To Be Scheduled,Harbor Islands,2000000,0,0,0,0,0,92543.0,0,0,1907457.0,0.0,0,0,0.0,0,2000000,2000000
31,Public Health Commission,It Disaster Recovery/Business Continuity,Establish A Disaster Recovery Site To Increase Disaster Preparedness Of Bphc’S Primary Computer System Infrastructure.,Department Of Innovation And Technology,To Be Scheduled,Citywide,565000,0,0,0,0,0,0.0,0,0,565000.0,0.0,0,0,0.0,0,565000,565000
32,Public Health Commission,Northampton Square Electrical Improvements,Implement Electrical Upgrades At Northampton Square Including Separation Of The Miranda Creamer Low Rise Electrical Service From The High Rise.,Public Facilities Department,In Construction,Roxbury,330000,0,0,0,0,0,13000.0,260000,50000,7000.0,0.0,0,0,0.0,0,330000,330000
33,Public Health Commission,Ems Neighborhood Station Study,Programming And Site Evaluation To Support Ems Facilities That Better Serve Each Community With Emergency Medical Services.,Public Facilities Department,To Be Scheduled,Citywide,500000,0,0,0,0,0,0.0,150000,0,350000.0,0.0,0,0,0.0,0,500000,500000
34,Public Health Commission,Northampton Square Garage,Structural And Other Repairs As Needed.,Public Facilities Department,In Design,Roxbury,400000,0,0,0,0,0,0.0,40000,95600,264400.0,0.0,0,0,0.0,0,400000,400000
35,Public Health Commission,201 River Street Hvac,"Upgrade Hvac For Improved Heating, Cooling, And Ventilation Systems.",Public Facilities Department,In Design,Mattapan,4850000,0,0,0,0,0,0.0,0,0,4850000.0,0.0,0,0,0.0,0,4850000,4850000
36,Public Health Commission,Franklin Park Ambulance Station,Study For New Boston Ems Station Within Franklin Park.,Public Facilities Department,To Be Scheduled,Roxbury,200000,0,0,0,0,0,0.0,0,0,200000.0,0.0,0,0,0.0,0,200000,200000
37,Boston Public Library,Central Library: Mckim Fire Panel,Upgrade The Mckim Building Fire Panel.,Public Facilities Department,In Design,Back Bay,3100000,0,0,0,0,0,52916.0,100000,2000000,947084.0,0.0,0,0,0.0,0,3100000,3100000
38,Boston Public Library,Chinatown Branch Library,Design And Construct A New Branch Library That Supports The Needs Of The Neighborhood And Reflects The Boston Public Library'S Compass Principles.,Public Facilities Department,In Design,Chinatown,22000000,0,0,0,0,0,79100.0,100000,10000000,11820900.0,0.0,0,0,0.0,0,22000000,22000000
39,Boston Public Library,Codman Square Branch Library,Conduct A Facility Assessment And Develop A Building Program That Reflects The Bpl'S Compass Principles And Supports The Needs Of The Neighborhood. Design And Construct A New Branch Library.,Public Facilities Department,To Be Scheduled,Dorchester,26300000,0,0,0,0,0,93740.0,0,0,26206260.0,0.0,0,0,0.0,0,26300000,26300000
40,Boston Public Library,Fields Corner Branch Library,Design And Construct A New Branch Library That Supports The Needs Of The Neighborhood And Reflects The Boston Public Library'S Compass Principles.,Public Facilities Department,In Design,Dorchester,30900000,0,0,0,0,0,347919.0,2500000,11000000,17052081.0,0.0,0,0,0.0,0,30900000,30900000
41,Boston Public Library,North End Branch Library,Assess The Existing Interior And Exterior Physical Conditions And Systems According To How Ably The Branch Can Accomplish The Compass Principles; Develop And Implement An Improvement Plan.,Public Facilities Department,To Be Scheduled,North End,865000,0,610000,0,0,0,4183.0,0,0,1470817.0,0.0,0,0,0.0,0,1475000,1475000
42,Boston Public Library,Research Collections Preservation And Storage Plan,"A Planning Study For The Storage, Preservation And Security Of The Bpl'S Research Collections.",Boston Public Library,Study Underway,Citywide,300000,0,0,0,0,0,0.0,0,100000,200000.0,0.0,0,0,0.0,0,300000,300000
43,Boston Public Library,South End Branch Library,"This Project Will Conduct A Facility Assessment, Review Neighborhood Goals, Develop An Updated Building Program That Reflects The Bpl'S Strategic Vision Supporting The Future Needs Of The Neighborhood, And Support Additional Interior Improvements.",Public Facilities Department,In Design,South End,1000000,1500000,0,0,0,0,0.0,125000,1200000,1175000.0,0.0,0,0,0.0,0,2500000,2500000
44,Boston Public Library,Upham'S Corner Library,Design And Construct A New Branch Library That Supports The Needs Of The Neighborhood And Reflects The Boston Public Library'S Compass Principles.,Public Facilities Department,To Be Scheduled,Dorchester,5250000,16750000,0,0,0,0,0.0,75000,200000,21725000.0,0.0,0,0,0.0,0,22000000,22000000
45,Boston Public Library,Central Library Façade Study And Repairs,Perform A Study Of The Condition Of The Facades Of The Johnson And Mckim Buildings And Make Repairs As Needed.,Boston Public Library,In Design,Back Bay,400000,0,0,0,0,0,174815.0,20000,100000,105185.0,0.0,0,0,0.0,0,400000,400000
46,Boston Public Library,South Boston Branch Library Study,Conduct A Facility Assessment And Develop A Building Program That Reflects The Bpl'S Compass Principles And Supports The Needs Of The Neighborhood. Design And Construct A New Branch Library.,Public Facilities Department,To Be Scheduled,South Boston,250000,0,0,0,0,0,0.0,0,0,250000.0,0.0,0,0,0.0,0,250000,250000
47,Boston Public Library,Egleston Square Branch Library,Design And Construct A New Branch Library That Supports The Needs Of The Neighborhood And Reflects The Boston Public Library'S Compass Principles.,Public Facilities Department,In Design,Roxbury,31510000,0,0,0,0,0,0.0,50000,828200,30631800.0,0.0,0,0,0.0,0,31510000,31510000
48,Boston Public Library,West End Branch Library,Design And Construct A New Branch Library. Develop A Building Program That Reflects The Boston Public Library'S Compass Principles And Supports The Needs Of The Neighborhood.,Public Facilities Department,In Design,West End,3000000,10000000,9000000,0,0,0,0.0,0,250000,21750000.0,0.0,0,0,0.0,0,22000000,22000000
49,Boston Public Library,Connolly Branch Library,"Upgrade And Replace Mechanical Systems, Windows, Roof, And Waterproof Façade. Assess Space Programming.",Public Facilities Department,In Design,Jamaica Plain,575000,0,0,0,0,0,0.0,150000,0,425000.0,0.0,0,0,0.0,0,575000,575000
50,Boston Public Library,Hyde Park Branch Library,"Upgrade Boiler, Windows, Roof, And Façade Repairs. Assess Space Programming.",Public Facilities Department,In Design,Hyde Park,500000,0,0,0,0,0,0.0,150000,0,350000.0,0.0,0,0,0.0,0,500000,500000
51,Boston Public Library,Central Library: Mckim Master Plan,Initial Design And Study Of Implementation Of The Mckim Master Plan.,Public Facilities Department,To Be Scheduled,Back Bay,1000000,0,49000000,0,0,0,0.0,0,200000,49800000.0,0.0,0,0,0.0,0,50000000,50000000
52,Department Of Innovation And Technology,Core Technology Infrastructure,"Install Hardware Platforms To Run Applications Supporting City Business. Scope Includes Equipment Refresh For Dwdm And Bonet Equipment Refresh, Voip, Firewall Modernization, Sql Environment Recovery, And 700 Mhz Radio Equipment And Firmware.",Department Of Innovation And Technology,Annual Program,Citywide,12669773,0,0,0,0,0,1654975.0,4000000,3715000,3299798.0,0.0,0,0,0.0,0,12669773,12669773
53,Department Of Innovation And Technology,Cyber Security And Resiliency,Implement Solutions To Manage And Mitigate Cyber Security Risks.,Department Of Innovation And Technology,Annual Program,Citywide,10668049,0,0,0,0,0,3179453.0,850000,850000,5788596.0,0.0,0,0,0.0,0,10668049,10668049
54,Department Of Innovation And Technology,Data Analytics,"Invest In Data Analytic Tools, Technologies, And Processes To Empower Data-Driven Management.",Department Of Innovation And Technology,Annual Program,Citywide,9131165,0,0,0,0,0,2230994.0,1665000,1400000,3835171.0,0.0,0,0,0.0,0,9131165,9131165
55,Department Of Innovation And Technology,Digital Service Delivery And Engagement,Implement Digital Technology Solutions That Better Engage Residents With Government.,Department Of Innovation And Technology,Annual Program,Citywide,8433296,0,978609,0,0,0,3061994.0,525000,500000,5324911.0,0.0,0,0,0.0,0,9411905,9411905
56,Department Of Innovation And Technology,Enterprise Applications,Identify And Procure Enterprise Business Applications That Enhance Productivity And Improve City Business Operations.,Department Of Innovation And Technology,Annual Program,Citywide,27000000,0,0,0,0,0,14227500.0,1200000,1000000,10572500.0,0.0,0,0,0.0,0,27000000,27000000
57,Department Of Innovation And Technology,Citywide Revenue Modernization,Planning And Design Of A Centralized Collections System To Maximize City Revenue.,Department Of Innovation And Technology,Implementation Underway,Citywide,650000,0,0,0,0,0,0.0,0,0,650000.0,0.0,0,0,0.0,0,650000,650000
58,Department Of Innovation And Technology,Trunked Radio System,Design And Implementation Of Upgrades To The Trunked Radio System.,Department Of Innovation And Technology,Implementation Underway,Citywide,6156000,0,0,0,0,0,3872774.0,200000,41019,2042207.0,0.0,0,0,0.0,0,6156000,6156000
59,Department Of Innovation And Technology,311 Modernization,Upgrade The Front And Back Ends Of The Bos:311 System To Modernize The Software Architecture For Improved Security And Provide Usability And Access Improvements.,Department Of Innovation And Technology,Implementation Underway,Citywide,6000000,0,0,0,0,0,0.0,500000,500000,5000000.0,0.0,0,0,0.0,0,6000000,6000000
60,Department Of Innovation And Technology,Unified Constituent Identity And Access Management,Begin Work On Creating A Unified Identity And Access Management System For Constituents Of Boston To Improve Security And Access Of Online Boston Municipal Services.,Department Of Innovation And Technology,Implementation Underway,Citywide,1000000,0,0,0,0,0,0.0,0,500000,500000.0,0.0,0,0,0.0,0,1000000,1000000
61,Environment Department,Climate Ready Boston Harbor Study,Support The Development Of A Study That Will Examine The Feasibility Of Measures Along And Within The Boston Harbor To Reduce Vulnerability Of Coastal Flooding Due To Sea Level Rise Caused By Climate Change.,Environment Department,Study Underway,Multiple Neighborhoods,2700000,0,0,0,0,0,609660.0,375000,800000,915340.0,0.0,0,0,0.0,3000000,5700000,2700000
62,Environment Department,Climate Ready Boston Phase 3,Climate Resilience Planning For City Neighborhoods And Municipal Facilities Affected By Climate Change.,Environment Department,To Be Scheduled,Citywide,491720,0,0,0,0,0,0.0,0,0,491720.0,0.0,0,0,0.0,0,491720,491720
63,Environment Department,Climate Resilience Reserve,Reserve For Climate Resilient Capital Investments.,Environment Department,Annual Program,Citywide,4134585,0,0,0,0,0,624871.0,0,0,3509714.0,0.0,0,0,0.0,0,4134585,4134585
64,Environment Department,Energy Efficiency Design Services,Design Services To Enhance The Energy Efficiency Of Municipal Capital Assets.,Environment Department,Implementation Underway,Citywide,325000,0,175000,16774,0,0,101990.0,0,0,398010.0,8625.0,8149,0,0.0,0,516774,500000
65,Environment Department,Exterior Lighting Energy Performance,Identify Energy Retrofit Project Opportunities For City Owned Light Fixtures.,Environment Department,Implementation Underway,Citywide,10000000,0,0,0,0,1200000,0.0,0,0,10000000.0,0.0,0,300000,900000.0,0,11200000,10000000
66,Environment Department,Renew Boston Trust Phase 3,Identify Energy Retrofit Project Opportunities In City Owned Buildings That Are Self-Financed By Future Energy Savings. The City Will Implement The Program Through Contracts With Energy Service Companies (Escos) That Will Guarantee The Energy Savings.,Public Facilities Department,In Construction,Citywide,65200000,0,0,1249014,0,0,18024252.0,28000000,19175748,0.0,1014693.0,234321,0,0.0,0,66449014,65200000
67,Environment Department,Mattahunt Woods Preservation,"Clean Up Debris, Manage Invasive Species, And Build Trails To Restore Wetland Habitat And Create Usable Open Space.",Parks And Recreation Department,In Design,Mattapan,850000,0,0,0,0,0,26450.0,125000,350000,348550.0,0.0,0,0,0.0,0,850000,850000
68,Environment Department,Climate Ready Streets,"Plan, Design, And Construct Infrastructure In Areas On And Adjacent To Public Streets That Reduce Storm Water Flooding, Protect Residents From Extreme Heat, And Improve Air Quality. Program Will Target Transit Corridors With On-Going Capital Projects.",Environment Department,To Be Scheduled,Citywide,0,0,0,2500000,0,0,0.0,0,0,0.0,0.0,104230,500000,1895770.0,0,2500000,0
69,Environment Department,Urban Wilds Land Management Plan,"Develop An Urban Wilds Conservation And Land Management Plan To Establish Criteria To Prioritize Future Capital Renovations, Land Acquisition, And Management Priorities For Existing Properties.",Environment Department,To Be Scheduled,Citywide,350000,0,0,0,0,0,0.0,0,0,350000.0,0.0,0,0,0.0,0,350000,350000
70,Environment Department,Moakley Park Connectors,Design Of Connection Walking Paths To Moakley Park From Adjacent Neighborhoods.,Environment Department,Study Underway,South Boston,544500,0,0,0,0,0,0.0,125000,250000,169500.0,0.0,0,0,0.0,1633500,2178000,544500
71,Office Of Arts & Culture,Percent For The Arts,"One Percent Of The City’S Annual Planned Bond Issuance Is Designated For The Commissioning Of Permanent, Public Art In Municipal Spaces. Site Selection Will Be Coordinated With Projects In The Capital Plan.",Office Of Arts And Culture,Annual Program,Citywide,17850000,4500000,0,0,0,0,2018790.0,1000000,1000000,18331210.0,0.0,0,0,0.0,0,22350000,22350000
72,Office Of Arts & Culture,Book Mark'D,Fabricate And Install A Bronze Sculpture Of Books For The Entrance Of The Mattapan Branch Library.,Office Of Arts And Culture,Implementation Underway,Mattapan,250000,0,0,0,0,0,100000.0,75000,75000,0.0,0.0,0,0,0.0,0,250000,250000
73,Office Of Arts & Culture,The Legacy Of Frederick Douglass,Fabricate And Install A Bronze Figure Grouping And Construct A Plaza Honoring Frederick Douglass In Douglass Square.,Office Of Arts And Culture,Implementation Underway,Roxbury,550000,0,0,0,0,0,116000.0,77700,300000,56300.0,0.0,0,0,0.0,0,550000,550000
74,Office Of Arts & Culture,Chinatown Worker Statues Project,"Design, Fabricate, And Install Four Bronze Figures On Four Separate Sites In The Chinatown Neighborhood Of Boston.",Office Of Arts And Culture,To Be Scheduled,Chinatown,1000000,0,0,0,0,0,0.0,143700,395800,460500.0,0.0,0,0,0.0,0,1000000,1000000
75,Office Of Arts & Culture,Art Signage Upgrades,"Design, Fabricate, And Install Custom Interpretative Signage For Numerous Artworks Across The City.",Office Of Arts And Culture,Study Underway,Citywide,100000,0,0,0,0,0,0.0,0,0,100000.0,0.0,0,0,0.0,0,100000,100000
76,Office Of Arts & Culture,Park Plaza Monument/Memorial,"Select An Artist Who Will Design, Manage The Fabrication And The Installation Of A New Artwork To Be Installed On The Site Formerly Occupied By The Emancipation Group Statue In Park Plaza.",Office Of Arts And Culture,To Be Scheduled,Bay Village,500000,0,0,0,0,0,0.0,0,0,500000.0,0.0,0,0,0.0,0,500000,500000
77,Office Of Arts & Culture,Emergent Memory (Cocoanut Grove Memorial)," Design, Fabrication, Site Preparation, And Installation Of Public Art In Statler Park.",Office Of Arts And Culture,Implementation Underway,Bay Village,305000,0,0,0,0,0,0.0,50000,130000,125000.0,0.0,0,0,0.0,145000,450000,305000
78,Office Of Arts & Culture,Cultural Center Study,"Conduct A Needs Assessment, Programming, And Siting Assessment For The Development Of A Neighborhood-Based Facility That Could Support Local Events And Activities And Also Sustain Local Cultural Identities.",Public Facilities Department,To Be Scheduled,Multiple Neighborhoods,125000,0,0,0,0,0,0.0,0,0,125000.0,0.0,0,0,0.0,0,125000,125000
79,Mayor'S Office Of Housing,Bha Charlestown,"Investment That Supports The Redevelopment Of The Bunker Hill Housing Development. The Initial Phase Includes 236 Affordable Units And Over The Life Of The Project Will Produce 1,010 Affordable Units.",Boston Housing Authority,In Construction,Charlestown,30000000,0,0,0,0,0,4038546.0,9000000,9000000,7961454.0,0.0,0,0,0.0,0,30000000,30000000
80,Mayor'S Office Of Housing,Bha Housing Improvements,"Upgrade Elderly/Disabled Public Housing Units In Several Bha Communities Including Saint Botolph In The South End, The Doris Bunte Apartments In Egleston Square, And Patricia White In Brighton.",Boston Housing Authority,Annual Program,Citywide,20000000,0,0,0,0,0,10000000.0,5000000,5000000,0.0,0.0,0,0,0.0,0,20000000,20000000
81,Mayor'S Office Of Housing,Mildred C. Hailey Phase 1 Redevelopment,The Project Will Consist Of A Total Of ~690 Apartments Which Will Include The 1-To-1 Replacement Of The Existing 253 Public Housing Units And The Construction Of ~435 New Affordable And Upper Middle-Income Apartments.,Boston Housing Authority,In Construction,Jamaica Plain,17000000,0,0,0,0,0,10000000.0,7000000,0,0.0,0.0,0,0,0.0,0,17000000,17000000
82,Mayor'S Office Of Housing,Mary Ellen Mccormack Redevelopment,"Phase One Comprises 1,365 Units Of New Mixed-Income Housing (572 Of Which Are Affordable Replacement Units), 69,000 Sq. Ft. Of Community And Retail Space, 2.3 Acres Of Open Space, And Approx. 520 Parking Spaces.",Boston Housing Authority,In Design,South Boston,20000000,0,0,0,0,0,0.0,0,0,20000000.0,0.0,0,0,0.0,0,20000000,20000000
83,Mayor'S Office Of Housing,Mildred C. Hailey Preservation,"Renovate Existing Bha Housing Units Including Plumbing, Ventilation, Windows, And Other Building Repairs.",Boston Housing Authority,In Construction,Jamaica Plain,52000000,0,0,0,0,0,0.0,4000000,18000000,30000000.0,0.0,0,0,0.0,0,52000000,52000000
84,Mayor'S Office Of Housing,Bha Retrofit,"Conduct Energy Efficiency Retrofits At Various Bha Sites Across Boston By Electrifying Hvac Systems And Replacing Natural Gas Stoves Appliances, And Electrifying Other Energy Systems.",Boston Housing Authority,To Be Scheduled,Citywide,25000000,0,0,25000000,0,0,0.0,0,0,25000000.0,0.0,2500000,7500000,15000000.0,0,50000000,25000000
85,Emergency Management,Emergency Operations Center,A Programming And Siting Study For The Development Of An Emergency Operations Center.,Public Facilities Department,To Be Scheduled,Citywide,1500000,0,0,0,0,0,0.0,0,0,1500000.0,0.0,0,0,0.0,0,1500000,1500000
86,Parks And Recreation Department,Animal Shelter,Develop A Building Program And Assess Siting Options.,Public Facilities Department,In Design,Roxbury,5100000,0,0,0,0,0,49679.0,1500000,0,3550321.0,0.0,0,0,0.0,0,5100000,5100000
87,Parks And Recreation Department,Artificial Turf Replacement,"Annual Program To Replace Artificial Turf Fields. High Priority Projects Include Charlestown High School, Saunders Stadium At Moakley Park, And Multi-Purpose Fields At East Boston Memorial Park.",Parks And Recreation Department,Annual Program,Citywide,9000000,0,0,0,0,0,3029756.0,4000000,500000,1470244.0,0.0,0,0,0.0,250000,9250000,9000000
88,Parks And Recreation Department,Back Bay Fens Pathways,Rehabilitate Pathways At The Back Bay Fens To Improve Accessibility And Site Conditions.,Parks And Recreation Department,In Design,Fenway-Kenmore,7500000,0,0,0,0,0,197843.0,25000,0,7277157.0,0.0,0,0,0.0,0,7500000,7500000
89,Parks And Recreation Department,Bay Village Neighborhood Park,"Comprehensive Park Renovation And Addition Of New Plantings, Park Furniture, And Interpretive Feature Describing Neighborhood History.",Parks And Recreation Department,In Design,Bay Village,550000,0,0,0,0,0,17429.0,30000,0,502571.0,0.0,0,0,0.0,25000,575000,550000
90,Parks And Recreation Department,Billings Field,"Design A Comprehensive Park Renovation Including Fields, Courts, And Other Park Infrastructure.",Parks And Recreation Department,In Design,West Roxbury,4200000,8400000,0,0,0,0,113856.0,0,0,12486144.0,0.0,0,0,0.0,0,12600000,12600000
91,Parks And Recreation Department,Boston Common Master Plan,Develop A Master Plan To Bring The Nation'S Oldest Public Park To The Level Of Excellence Commensurate With Its Historical Importance And Use By The City’S Residents And Visitors.,Parks And Recreation Department,Implementation Underway,Beacon Hill,0,0,0,19020000,0,0,0.0,0,0,0.0,900357.0,50000,0,18069643.0,0,19020000,0
92,Parks And Recreation Department,Boston Common Tadpole Play Lot,"Revitalize The Boston Common Playground Including New Play Equipment, Safety Surfacing And Site Furnishings.",Parks And Recreation Department,In Design,Beacon Hill,1000000,0,0,0,0,0,0.0,0,250000,750000.0,0.0,0,0,0.0,0,1000000,1000000
93,Parks And Recreation Department,Building Assessment At Active Cemeteries,Assess Conditions And Develop Repair Plan For Buildings In The City'S Three Active Cemeteries.,Public Facilities Department,Study Underway,Multiple Neighborhoods,200000,0,0,0,0,0,0.0,75000,0,125000.0,0.0,0,0,0.0,0,200000,200000
94,Parks And Recreation Department,Bussey Brook Meadow Trail At Arnold Arboretum,"Repair And Extension Of Walking Paths, Wetland Habitat Restoration And Improvements To Bussey Brook Flood Retention Capacity.",Parks And Recreation Department,In Design,Jamaica Plain,600000,0,0,0,0,0,0.0,0,0,600000.0,0.0,0,0,0.0,0,600000,600000
95,Parks And Recreation Department,Byrne Playground,"Renovate Park Including Play Lots, Courts, And Passive Areas.",Parks And Recreation Department,In Design,Dorchester,400000,0,1970000,0,0,0,0.0,77200,0,2292800.0,0.0,0,0,0.0,0,2370000,2370000
96,Parks And Recreation Department,Ceylon Park,"Design Of Park Improvements Including Upgrades To Artificial Turf, Sports Lighting, Basketball Court, Playgrounds, Splash Pad, Spectator Seating, And Accessibility.",Parks And Recreation Department,In Construction,Roxbury,4100000,575000,0,0,0,0,96117.0,500000,2000000,2078883.0,0.0,0,0,0.0,0,4675000,4675000
97,Parks And Recreation Department,Christopher Columbus Park,"Playground Renovation Including Play Structure, Safety Surfacing, Fencing, Lighting, Site Furnishings, Pathway Repairs, Drainage, Signage, And Green Infrastructure To Mitigate Future Sea Level Rise.",Parks And Recreation Department,In Design,North End,3500000,0,0,0,0,0,0.0,0,0,3500000.0,0.0,0,0,0.0,0,3500000,3500000
98,Parks And Recreation Department,Clarendon Street Playground,Upgrade Play Equipment.,Parks And Recreation Department,In Construction,Back Bay,1955000,0,0,0,0,0,153376.0,500000,1220000,81624.0,0.0,0,0,0.0,0,1955000,1955000
99,Parks And Recreation Department,Clifford Playground,Develop Design For A Comprehensive Park Renovation.,Parks And Recreation Department,In Design,Roxbury,7220000,5780000,0,1000000,0,0,0.0,500000,1750000,10750000.0,0.0,0,1000000,0.0,0,14000000,13000000
100,Parks And Recreation Department,Codman Square,Implementation Of Redesign Of Codman Square Park.,Parks And Recreation Department,In Design,Dorchester,640000,0,0,0,0,0,4485.0,50000,0,585515.0,0.0,0,0,0.0,1170000,1810000,640000
101,Parks And Recreation Department,Commonwealth Avenue Mall: Kenmore Block,"Design For Improvements To Pathways, Site Furnishings, Utilities, Storm Water Infrastructure, Irrigation, And Plantings.",Parks And Recreation Department,In Design,Fenway-Kenmore,250000,2125000,0,0,0,0,84253.0,20000,0,2270747.0,0.0,0,0,0.0,0,2375000,2375000
102,Parks And Recreation Department,Copley Square Park,Complete Park Redesign To Optimize Resiliency To High Traffic Events And Storm-Water.,Parks And Recreation Department,In Construction,Back Bay,18850000,0,0,0,0,0,1247440.0,6000000,11000000,602560.0,0.0,0,0,0.0,0,18850000,18850000
103,Parks And Recreation Department,Coppens Square,Design And Construction Of Park Improvements Including Replacement Of The Mayor Theodore Lyman Fountain That Was Removed In 1951.,Parks And Recreation Department,In Design,Dorchester,1475000,0,0,0,0,0,0.0,0,0,1475000.0,0.0,0,0,0.0,0,1475000,1475000
104,Parks And Recreation Department,Court Renovations,"Annual Program To Rehabilitate Tennis, Basketball, And Street Hockey Courts Citywide.",Parks And Recreation Department,Annual Program,Citywide,3720000,0,0,0,0,0,21122.0,50000,400000,3248878.0,0.0,0,0,0.0,0,3720000,3720000
