id,department,project_name,scope_of_work,pm_department,project_status,neighborhood,authorization_existing,authorization_fy,authorization_future,grant_existing,grant_fy,grant_future,go_expended,capital_year_0,capital_year_1,capital_year_25,grant_expended,grant_year_0,grant_year_1,grant_year_25,external_funds,total_project_budget,sum_authorization
373,Boston Public Schools,Baldwin School Masonry Repairs,Repair Masonry At The School.,Boston Public Schools,In Construction,Allston/Brighton,1297900,0,0,0,0,0,0.0,1297900,0,0.0,0.0,0,0,0.0,0,1297900,1297900
374,Boston Public Schools,Henderson Inclusion Lower School Yard,Design And Construct Improvements To The School Yard.,Boston Public Schools,In Construction,Dorchester,1285000,0,0,0,0,0,0.0,1285000,0,0.0,0.0,0,0,0.0,0,1285000,1285000
375,Boston Public Schools,Winship School Yard,Design And Construct Improvements To The School Yard.,Boston Public Schools,In Construction,Allston/Brighton,1490000,0,0,0,0,0,0.0,1490000,0,0.0,0.0,0,0,0.0,0,1490000,1490000
376,Boston Public Schools,Warren Prescott School Yard,Design And Construct Improvements To The School Yard.,Boston Public Schools,In Construction,Charlestown,1195000,0,0,0,0,0,0.0,1195000,0,0.0,0.0,0,0,0.0,0,1195000,1195000
377,Parks And Recreation Department,Boston Common Frog Pond,Improvements To The Frog Pond At Boston Common.,Parks And Recreation Department,Study Underway,Beacon Hill,0,0,0,250000,0,0,0.0,0,0,0.0,0.0,0,0,250000.0,0,250000,0
378,Transportation Department,Dorchester Greenway,"Plan And Design A Linear Park Through Dorchester Near The Covered Portion Of The Mbta Red Line, Supported With Masstrails Grant.",Transportation Department,Study Underway,Dorchester,368250,0,0,0,0,0,0.0,25000,200000,143250.0,0.0,0,0,0.0,0,368250,368250
379,Boston Public Schools,Madison Park Fire Pumps,Replace The Fire Pumps At Madison Park Technical Vocational High School.,Public Facilities Department,In Construction,Roxbury,2765000,0,0,0,0,0,0.0,1659000,1106000,0.0,0.0,0,0,0.0,0,2765000,2765000
380,Fire Department,Fy25 Fire Equipment,Purchase New Engines And Ladders For Boston Fire.,Boston Fire Department,Implementation Underway,Citywide,4000000,0,0,0,0,0,0.0,1750791,2249209,0.0,0.0,0,0,0.0,0,4000000,4000000
381,Environment Department,Border Street Resilience,Plan A Resilient Coastal Solution For Border Street In East Boston.,Environment Department,Study Underway,East Boston,500000,0,0,0,1000000,0,0.0,150000,100000,250000.0,0.0,0,600000,400000.0,0,1500000,500000
382,Public Works Department,Long Island Bridge,Construct A New Bridge From Moon Island To Long Island.,Public Works Department,In Design,Harbor Islands,50000000,0,58758144,0,0,0,0.0,0,1000000,107758144.0,0.0,0,0,0.0,0,108758144,108758144
383,Transportation Department,Traffic Signal Communications Improvements,Install Fiber Optic Cable And Replaces Existing Traffic Controller Units At 104 Intersections To Improve Signal Management.,Transportation Department,New Project,Citywide,1875000,1125000,0,0,0,0,0.0,300000,1200000,1500000.0,0.0,0,0,0.0,0,3000000,3000000
384,Transportation Department,Lafayette Garage Repairs,Perform Assessment And Repairs To The Lafayette Garage.,Public Facilities Department,New Project,Downtown/Government Center,0,0,0,0,850000,0,0.0,0,0,0.0,0.0,0,125000,725000.0,0,850000,0
385,Fire Department,Exterior Repairs At Various Stations,"Repair Aprons And Exterior Work At Engine Stations 28, 9, 39, 4, And 10.",Public Facilities Department,New Project,Multiple Neighborhoods,0,375000,0,0,0,0,0.0,0,50000,325000.0,0.0,0,0,0.0,0,375000,375000
386,Fire Department,Engine 21 Retaining Wall,Repair Granite Block Retaining Wall At Engine 21.,Public Facilities Department,New Project,Dorchester,0,1000000,0,0,0,0,0.0,0,0,1000000.0,0.0,0,0,0.0,0,1000000,1000000
387,Fire Department,Emergency Generator Replacement,"Design And Engineering For The Replacement Of Backup Generators At Engines 7, 16, 22, And 28.",Public Facilities Department,New Project,Multiple Neighborhoods,0,360000,0,0,0,0,0.0,0,50000,310000.0,0.0,0,0,0.0,0,360000,360000
388,Fire Department,Fuel Pump Tank Replacement,Replace Fuel Tanks At Various Fire Stations.,Public Facilities Department,New Project,Citywide,0,720000,0,0,0,0,0.0,0,50000,670000.0,0.0,0,0,0.0,0,720000,720000
389,Fire Department,Roof Replacements At Various Stations,"Engineering And Design For The Replacing Roofs At Engine 8, Engine 30, And Maintenance (Small Car Shop).",Public Facilities Department,New Project,Multiple Neighborhoods,0,1000000,0,0,0,0,0.0,0,250000,750000.0,0.0,0,0,0.0,0,1000000,1000000
390,Boston Planning And Development Agency,Long Wharf Resilience Solutions,Study And Design Of The Entirety Of An Immediate Flood Pathway From North End To East India Row In The Downtown/North End Neighborhoods. This Is An Expansion Of The Ongoing Resilience Work At Long Wharf.,Boston Planning And Development Agency,New Project,Downtown/Government Center,0,3000000,0,0,0,0,0.0,0,400000,2600000.0,0.0,0,0,0.0,0,3000000,3000000
391,Parks And Recreation Department,Franklin Park Circuit Drive Safety Improvements,Design Safety And Stormwater Improvements For Circuit Drive.,Parks And Recreation Department,New Project,Roxbury,0,0,0,500000,0,0,0.0,0,0,0.0,0.0,0,75000,425000.0,0,500000,0
392,Parks And Recreation Department,Franklin Park Dog Park,Site Selection And Design Documents For A Dog Recreation Space And Tennis Facilities In Franklin Park.,Parks And Recreation Department,New Project,Roxbury,0,0,0,50000,0,0,0.0,0,0,0.0,0.0,0,50000,0.0,0,50000,0
393,Parks And Recreation Department,Franklin Park Peabody Circle,"Design Improvements To Peabody Circle That Create A Welcoming And Functional Park Entrance That Coordinates With Zne, And The Blue Hill Ave. And Columbia Road Transportation Action Plans.",Parks And Recreation Department,New Project,Roxbury,0,0,0,300000,0,0,0.0,0,0,0.0,0.0,0,50000,250000.0,0,300000,0
394,Parks And Recreation Department,Boston Common Mayor'S Walk,"Design And Construct A Mid-Block Crossing On Charles Street At The Mayor'S Walk To Restore And Clarify Park Edges And Entrances, And Improve Mayor'S Walk Surface, Seating, And Drainage.",Parks And Recreation Department,New Project,Beacon Hill,0,0,0,1420000,0,0,0.0,0,0,0.0,0.0,0,100000,1320000.0,0,1420000,0
